,File,Columns,Rows/SEQN Count,Duplicate SEQN,Missing %
0,DEMO,18,8153,0,10.76
1,DPQ,13,5519,0,0.23
2,BMX,15,8791,0,22.12
3,PAQ,11,8153,0,14.3
4,SLQ,11,8501,0,0.79
